epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8927823901176453,0.2769278287887573,0.904998242855072,0.24858523905277252
1,0.9039695858955383,0.2512931227684021,0.9057865738868713,0.24721640348434448
2,0.9043838381767273,0.2503749132156372,0.9060015678405762,0.2464575469493866
3,0.9047356247901917,0.24983292818069458,0.9060155749320984,0.246340811252594
4,0.9048973321914673,0.24943424761295319,0.9061378836631775,0.2462822049856186
5,0.9051241278648376,0.24907585978507996,0.9062060713768005,0.24607957899570465
6,0.9052040576934814,0.24869170784950256,0.9061886072158813,0.2461557239294052
7,0.9053434729576111,0.24850016832351685,0.9063196778297424,0.2460014373064041
8,0.9056039452552795,0.24821455776691437,0.9062707424163818,0.24586381018161774
9,0.9054815769195557,0.24820320308208466,0.9063721299171448,0.24592886865139008
